pkey,K_tfh_blz,n_tfh_blz,K_blz_tfh,n_blz_tfh,K_blz_tfr,n_blz_tfr,K_tfr_tfh,dummy1,dummy2,dummy3,dummy4,dummy5
11072021_AAAAA,0.139529,4.28816,1.41304,0.655229,8.92856,1.04142,0.302977,0.974806,0.649163,0.659273,0.145831,0.756891
11072021_AAAAD,0.0589093,0.678871,1.45835,2.51313,7.73206,4.275,0.413855,0.781129,0.464499,0.85178,0.777018,0.964281
11072021_AAAAE,0.123116,1.89096,1.1393,0.748017,7.04697,0.308661,0.342205,0.24424,0.621237,0.177154,0.45892,0.0724436
11072021_AAAAL,0.0989506,0.550372,1.06938,0.829596,9.07836,0.896994,0.363332,0.585399,0.406016,0.298833,0.0468931,0.747759
11072021_AAAAQ,0.127739,3.13548,1.22188,1.50798,6.4883,4.86008,0.35833,0.792065,0.119183,0.759317,0.892948,0.794625
11072021_AAAAR,0.0597197,2.20087,1.30784,4.07611,9.34341,1.98666,0.246188,0.529475,0.411468,0.431004,0.508785,0.272948
11072021_AAAAS,0.120707,0.78889,1.09451,0.535872,6.19739,0.735452,0.472231,0.495938,0.502776,0.597686,0.194071,0.631093
11072021_AAAAU,0.109812,1.41317,1.44862,1.32099,9.64547,0.636154,0.398766,0.0539307,0.154848,0.281211,0.705912,0.0943096
11072021_AAAAX,0.0505856,0.408444,1.04161,2.05813,9.76948,1.66193,0.337269,0.381318,0.900315,0.639574,0.616741,0.400545
11072021_AAAAY,0.117426,3.85502,1.36073,0.273081,5.45144,0.920722,0.417999,0.597175,0.0609594,0.331735,0.181455,0.511149
11072021_AAABG,0.130799,2.02257,1.3918,0.292019,7.53314,0.247139,0.479562,0.0161349,0.880359,0.809656,0.789711,0.979595
11072021_AAABH,0.0567315,3.19393,1.07153,0.556891,5.38826,0.635529,0.292565,0.286836,0.588013,0.388448,0.674042,0.454922
11072021_AAABL,0.0809193,1.44404,1.34515,0.739258,8.47737,4.65356,0.313066,0.556225,0.686263,0.902079,0.986864,0.653289
11072021_AAABS,0.148185,2.49869,1.2922,1.23811,7.41138,0.393067,0.49658,0.566642,0.786623,0.860664,0.316147,0.375866
11072021_AAABV,0.0754034,0.46276,1.3897,0.455453,9.52232,2.21777,0.48293,0.805039,0.687782,0.323099,0.720558,0.0789953
11072021_AAACJ,0.0525551,1.07335,1.42868,0.304231,7.11334,0.200296,0.365978,0.933717,0.0238403,0.104555,0.966887,0.891187
11072021_AAACN,0.115957,1.78601,1.4349,4.69173,6.15318,4.47876,0.497935,0.258261,0.173769,0.0769567,0.64455,0.442907
11072021_AAACO,0.0520418,0.971749,1.22525,0.630543,9.2216,0.323373,0.257534,0.73198,0.771913,0.894117,0.0881397,0.582808
11072021_AAACY,0.0760635,2.09142,1.21813,0.422557,6.63303,1.37692,0.29121,0.603455,0.451477,0.674169,0.349179,0.39525
